,title,year,time,genre,rating,image
0,Aynabaji,-2016,147 min,Action,9,"https://m.media-amazon.com/images/M/MV5BOTQzYjk2ZTYtM2FhNi00ODQ1LWI0YWYtZDVhMzRiN2ZlMzQ5XkEyXkFqcGdeQXVyMTE3MzIyMDM5._V1_UX67_CR0,0,67,98_AL_.jpg"
1,The Dark Knight,-2008,152 min,Action,9,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
2,Inception,-2010,148 min,Action,8.8,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,Se7en,-1995,127 min,Action,8.6,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
4,The Silence of the Lambs,-1991,118 min,Action,8.6,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
5,Kaithi,-2019,145 min,Action,8.5,"https://m.media-amazon.com/images/M/MV5BOWVlNjg3ODAtMmJkZC00YWQwLThlMWQtODEyMTY1NTM3NmVkXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UX67_CR0,0,67,98_AL_.jpg"
6,Gisaengchung,-2019,132 min,Action,8.5,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,The Prestige,-2006,130 min,Action,8.5,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX67_CR0,0,67,98_AL_.jpg"
8,The Departed,-2006,151 min,Action,8.5,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX67_CR0,0,67,98_AL_.jpg"
9,The Usual Suspects,-1995,106 min,Action,8.5,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
